Item Number,Item Name,Suggested Retail,Qty,Lead Time
9781954742642,The Promises of God | Coffee Table Book,29.00,1,In stock — ships next business day
TLR-holyspirit-suncatcher,Holy Spirit Dove Suncatcher,35.00,1,In stock — ships next business day
TLR-waterfont,Holy Water Font for Home,34.00,1,In stock — ships next business day
TLR-guardianangel-luxury,Guardian Angel Luxury Double Sided Muslin Catholic Blanket,50.00,1,In stock — ships next business day
SB-DEVOTIONAL-COUPLE,Choosing You: A 52-Week Couples Devotional for a Christ-Centered Marriage,50.00,1,In stock — ships next business day
WP515,Cord of Three Strands Plaque,30.00,1,In stock — ships next business day
4COOFTH1608,A Cord of Three Strands Ecclesiastes 4:12 White,39.40,1,In stock — ships next business day
TFR1058,Beautiful Marriage - Thin Frame Rectangle,50.00,1,In stock — ships next business day
46218C,Wedding Wall Cross,32.00,1,In stock — ships next business day
9798885230360,Come Close | Teen Devotional,16.00,backorder,Ordered from the maker when you place it — allow 10 business days.
9781954742512,Take Heart Devotional | Coffee Table Book,24.00,backorder,Ordered from the maker when you place it — allow 10 business days.
JL591,Amazing Grace Natural Canvas & Brown Faux Leather Journal,19.99,backorder,Ordered from the maker when you place it — allow 10 business days.
JL511,Journal Handy Brown I Know the Plans Jer. 29:11,9.99,backorder,Ordered from the maker when you place it — allow 10 business days.
JLW121,Journal Wirebound Black/Gray Be Strong Josh. 1:9,9.99,backorder,Ordered from the maker when you place it — allow 10 business days.
JLW234,Journal Wirebound Pink Floral Strength & Dignity Prov. 31:25,9.99,backorder,Ordered from the maker when you place it — allow 10 business days.
OM064,One-Minute Devotions for Boys Faux Leather,14.99,backorder,Ordered from the maker when you place it — allow 10 business days.
DEV091,Devotional My Quiet Time Faux Leather,17.99,backorder,Ordered from the maker when you place it — allow 10 business days.
TLR-comeholyspiritpouch,Come Holy Spirit Catholic Bible/Planner Pouch,20.00,backorder,Ordered from the maker when you place it — allow 10 business days.
TLR-surrenderprayercaddy,Catholic Prayer Corner Caddy,26.00,backorder,Ordered from the maker when you place it — allow 10 business days.
GB221,Devotional for Mr. & Mrs. White Faux Leather,16.99,backorder,Ordered from the maker when you place it — allow 10 business days.
GB105,Devotional for Mr. & Mrs. Blue Faux Leather,16.99,backorder,Ordered from the maker when you place it — allow 10 business days.
GB231,Gift Book 101 Prayers for Mr. & Mrs. Faux Leather,14.99,backorder,Ordered from the maker when you place it — allow 10 business days.
MUGS56,Mug Set 2pc Mr. & Mrs. 1 Cor. 13:4,19.99,backorder,Ordered from the maker when you place it — allow 10 business days.
61896,Mr & Mrs (Daily Devotional for Couples),17.99,backorder,Ordered from the maker when you place it — allow 10 business days.
59480,Celebrate Your Marriage (Daily Devotional for Couples),17.99,backorder,Ordered from the maker when you place it — allow 10 business days.
64279,Strength for Today for Couples (Zippered Devotional),21.99,backorder,Ordered from the maker when you place it — allow 10 business days.
9798886502947,Married Couple's Bible Study,14.99,backorder,Ordered from the maker when you place it — allow 10 business days.
TTCR-2005,Tabletop Cross Marriage Takes Three Poem,28.99,backorder,Ordered from the maker when you place it — allow 10 business days.
259-4493SG,Wedding Day Gift: Gray Stained Glass Cross 4493SG,24.99,backorder,Ordered from the maker when you place it — allow 10 business days.
259-4493SGFR,Wedding Day Gift: Framed Gray Glass Cross 4493SGFR,26.99,backorder,Ordered from the maker when you place it — allow 10 business days.
GB283,Gift Book 199 Prayers for My Husband Faux Leather,17.99,backorder,Ordered from the maker when you place it — allow 10 business days.
GLT040,Trinket Tray Love Heart Love 1 Cor. 13:4,9.99,backorder,Ordered from the maker when you place it — allow 10 business days.
GB284,Gift Book 199 Prayers for My Wife Faux Leather,17.99,backorder,Ordered from the maker when you place it — allow 10 business days.
W-394,Pen Keyring Set Jeremiah 17:7,19.99,backorder,Ordered from the maker when you place it — allow 10 business days.
FS18,A Chord of Three Strands Wedding Favor Favour Christian,5.23,backorder,Ordered from the maker when you place it — allow 10 business days.
